Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955000,1303000,1350000,1694000,2097000,2616000,2979000,3716000,3404000,3443000,4120000,3959000,3928000,4146000,4504000,4852000,5186000,5415000,5922000,2907000,
Andorra,AND,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17890000,18728000,18866000,18967000,18906000,6458000,
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436000,4481000,4533000,4928000,5425000,5793000,6083000,7676000,8295000,9844000,10022000,13159000,18645000,21583000,18411000,15352000,,
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111000,110000,131000,169000,221000,269000,329000,468000,516000,526000,563000,715000,965000,1083000,1198000,1187000,1263000,1482000,1623000,1868000,346000,
American Samoa,ASM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519000,2732000,2933000,3161000,3210000,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,9052000,9480000,9810000,10390000,10932000,11403000,11624000,2832000,
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7528000,8350000,8266000,8384000,8371000,8206000,10042000,9876000,9677000,10121000,9882000,9874000,10960000,10671000,10994000,10628000,11534000,11491000,11043000,11902000,3964000,
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432000,654000,1146000,1204000,1326000,1130000,1141000,1475000,1473000,1830000,1836000,1631000,2162000,2363000,3176000,3550000,3874000,4285000,4244000,4096000,4282000,4109000,4908000,5568000,1165000,
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,35000,10000,16000,27000,28000,35000,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5645000,7548000,7776000,6410000,7932000,6570000,6773000,7268000,8783000,9327000,7852000,8371000,8887000,8775000,8801000,9727000,9576000,10803000,10991000,10835000,13372000,12142000,13098000,14191000,5850000,
Benin,BEN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830000,911000,866000,992000,1103000,1128000,1075000,1158000,1414000,1565000,1767000,1819000,2327000,875000,2254000,1913000,2127000,2273000,1460000,,,,,,,,
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524000,3006000,3059000,2592000,2376000,2337000,2730000,3188000,3403000,3882000,4235000,4180000,4515000,5727000,4993000,3676000,3803000,3758000,3930000,4158000,4632000,5392000,6228000,6699000,7007000,3973000,
Bahrain,BHR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741000,3293000,3136000,2868000,2950000,,
"Bahamas, The",BHS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747000,4008000,6160000,6518000,6924000,6596000,6811000,7512000,6323000,6440000,7464000,7542000,8427000,8841000,7236000,6972000,8340000,9209000,9326000,9221000,2810000,
Belize,BLZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,145000,141000,156000,161000,170000,181000,192000,,,,,,,,,,,,,
Bolivia,BOL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,269000,285000,299000,253000,201000,222000,217000,304000,346000,386000,472000,526000,589000,518000,604000,775000,788000,837000,932000,965000,940000,997000,1060000,1160000,432000,
Brazil,BRA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,3797000,4014000,4171000,2863000,3228000,2674000,2338000,3229000,2968000,3364000,3886000,4662000,5238000,4920000,6457000,7807000,8497000,8866000,9617000,9478000,8872000,10610000,10628000,,,
Barbados,BRB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,,
Botswana,BWA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,6000,7000,8000,11000,,,,38000,,,,,,,,,,,
Canada,CAN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46912000,50044000,51737000,47481000,53620000,61909000,65175000,65780000,63737000,55971000,52979000,54955000,38069000,37845898.44,,
Central Europe and the Baltics,CEB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82137413.77,90797125.69,96995628.58,98540640.36,103358915.2,106599221.4,102537633.3,93740821.34,88685258.06,91533983.55,97852373.4,102510242.5,110142989.4,117756000,102817000,103082009,102137000,104157000,108876000,93128000,104174000,109447000,119458000,128530000,136609000,,
Switzerland,CHE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17548000,,,,,17407000,16522000,15902000,18949000,20293000,20303000,19833000,22086000,21536000,22481000,24572000,19797000,,
Channel Islands,CHI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528000,1340000,1444000,1509000,1727000,2031000,2264000,2451000,2317000,2359000,2737000,3220000,3448000,3674000,3842000,4103000,4269000,4367000,4605000,4091000,,
China Mainland,CHN_M,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520000,5061000,5324000,8426000,9232000,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83182000,98185000,116593000,127860000,135130000,143035000,149720000,154632000,20334000,
China,CHN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520000,5061000,5324000,56020000,62376000,69374000,73229000,81142000,81158000,97756000,103955000,110981000,122235000,128361000,130285000,142581000,155974000,169749000,184045000,202649000,218408000,228139000,235730000,243714000,251112000,28720000,
Cote d'Ivoire,CIV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,50000,,,,,,,,,,,,,,,,356000,424000,,,,,
"Congo, Rep.",COG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161000,180000,,,,,,,,
Colombia,COL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057000,929000,1071000,1093000,1098000,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3169000,3605000,3911000,3862000,3795000,4017000,4368000,4479000,1275000,
Comoros,COM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273000,283000,288000,330000,353000,381000,361000,364000,373000,425000,487000,485000,577000,528000,579000,662000,717000,773000,790000,798000,919000,1036000,1150000,1079000,1153000,324000,
Caribbean small states,CSS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,72000,83000,94000,97000,139000,121000,111000,113000,124000,162000,199000,194000,202000,206000,251000,253000,213000,286000,355000,580000,385000,459000,552000,650000,271000,
Curacao,CUW,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000,365000,422000,484000,540000,588000,684000,744000,737000,859000,914000,932000,1081000,1210000,1172000,1246000,1209000,1194000,1115000,1209000,1119000,1268000,1407000,1446000,1578000,,
Czechia,CZE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7213000,6643000,6963000,6393000,9048000,9665000,8904000,8673000,5279000,5419000,5781000,5651000,5856000,6027000,6775000,7390000,7346000,2399000,
Germany,DEU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55800000,69200000,78100000,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,90966000,92402000,108542000,99533000,,
Djibouti,DJI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035000,4693000,4788000,4744000,5011000,4946000,4935000,5564000,4630000,5469000,6129000,6564000,6347000,7037000,7726000,7846000,7843000,6977000,8528000,8991000,9651000,8087000,7475000,9088000,4230000,
Dominican Republic,DOM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000,358000,355000,354000,363000,360000,331000,332000,321000,368000,419000,420000,443000,413000,415000,401000,408000,418000,392000,427000,478000,500000,522000,514000,532000,210000,
Algeria,DZA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000,874000,827000,879000,903000,1006000,1190000,1257000,1254000,1417000,1513000,1349000,1499000,1539000,1677000,1757000,1715000,1911000,2136000,2839000,3638000,4530000,5058000,5610000,5732000,1386000,
East Asia & Pacific (excluding high income),EAP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18494984.16,20926449.31,22684010.77,24104615.19,25027607.57,28789531.07,33607829.6,33183645.03,36835527.58,42046888.86,45651720.96,51794241.93,60451886.13,66226942.19,67897762.07,81845597.38,97463919.67,113847239.7,133004491.8,155347356.6,170248441.2,181136727.2,192151378.1,202247515.9,210530956.3,,
Early-demographic dividend,EAR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169917270.9,172629924,180068587.7,183401081.8,198868894.3,216559415.8,212440258.9,215405027,216755688.1,231847307.9,238161620.7,231161562.8,220452989.4,220696425.1,212055993.4,233443159.9,230622330.1,240569262.8,262592017.4,268751796.4,291665952.6,312536177.8,323293789.7,309760109.9,309162984.6,,
East Asia & Pacific,EAS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93487907.38,105058885.9,111012952.2,110742415.3,119896552.5,134784939.1,142852067,146849553.8,144565260.1,168503338.3,178980034.5,191973606.5,209160640,214079069.4,212759734,236680060.3,254609640.2,275983951.2,296517180.4,321003450.4,345737393.8,366330196.1,384699656.3,402010474.2,415489956.3,,
Europe & Central Asia (excluding high income),ECA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76738619.4,85797832.22,91548425.84,100443508.9,104726021.9,102230776.3,110297645.2,123276429.9,132546898.1,147039143.7,136995126.8,129803442.2,133101122.5,153450258.7,165722068,174307497.9,,
Europe & Central Asia,ECS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373271895.5,406716446.7,431290829.6,457405981.2,453096545.8,457281193.3,467949386.2,477522968.1,504648379.4,516208188.5,543821360.1,562146928.2,539873168,554242170.5,573579334.7,585069762.8,608350743.4,587759571.4,604738772.9,626599435.2,682564892.6,729507921.2,740715759.5,,
Ecuador,ECU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271000,275000,321000,330000,386000,520000,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1096000,1221000,1366000,1347000,1402000,1515000,,
"Egypt, Arab Rep.",EGY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716000,4618000,4863000,5678000,5782000,6180000,,,,,,,
Euro area,EMU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176496888.4,200805328.6,213458179.8,222897314.8,223258385.5,227220660.5,237311634.4,232662990.3,241460247.1,240206221.4,251318903.5,261350173.5,260250412,261465779.2,263529591.1,259790000,262622000,265842000,271600000,285847000,311204000,338485601.6,337838000,,
Eritrea,ERI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12709000,13042000,13754000,14254000,15944000,14916000,13434000,13952000,17625000,18277000,20274000,22287000,22816000,6236000,
Estonia,EST,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764000,1547000,1616000,1659000,1780000,1800000,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,1339000,1279000,2069000,1702000,558000,
Ethiopia,ETH,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,133000,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271484135.2,296369930.6,312875355.6,325163288.8,321405897,316687650.4,322010732.5,319207224.2,334631056.4,338891792,359820729.5,376994649.5,362275414.4,364844521.7,364843479.1,365610235.1,372957185.8,360809409.4,378470722,397789572.1,431349338.1,461906449.3,468662306.3,,
Fragile and conflict affected situations,FCS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6668000,6428000,6413000,6566000,6693000,7485000,8238000,9978000,9526000,9783000,10022000,10278000,10480000,10480000,10440000,2690000,
Fiji,FJI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000,72000,74000,78000,89000,83000,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,156000,169000,174000,174000,,
France,FRA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27107000,33144000,30960000,30646000,29973000,31153000,29642000,30457000,31941000,30608000,29636000,44265000,48069000,49276000,21287000,
Faroe Islands,FRO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203000,187000,168000,189000,219000,236000,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41345000,42050000,45957000,50872000,53881000,56837000,58281000,59377000,61424000,64194000,66494000,69536000,69450000,69011000,63513000,64647000,67493000,66858000,68959000,72204000,77619000,81757000,87242000,90571000,93086000,23827000,
Georgia,GEO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228000,219000,355000,433000,373000,315000,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3136000,3400000,3851000,3698000,3780000,,
Ghana,GHA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
