Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guinea,GIN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387000,307000,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,7235000,7685000,7961000,7848000,2324000,
Grenada,GRD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333000,333000,331000,391000,485000,488000,580000,629000,658000,854000,982000,1055000,1168000,1277000,651000,694000,718000,721000,846000,992000,1130000,1195000,1328000,1538000,1703000,507799.9878,
Guam,GUM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574878939,610109478.4,644643750.3,639396289.9,638005764.7,627229194.3,655857600.3,683101339.8,780689372.2,806033509.5,816213734.5,783266709.2,811128570.1,819893615.5,838746662.1,857227623.5,850607288,889669300.9,928589865.8,982228992.4,1016965040,1037956546,,
Honduras,HND,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000,1092000,1072000,1055000,1065000,1150000,1121000,727000,703000,,,
Heavily indebted poor countries (HIPC),HPC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4393000,4823000,,5526000,5159000,5444000,4638000,4355000,2581000,2597000,2980000,3500000,678000,
Haiti,HTI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13083000,12064000,12173000,12317000,10622000,11065000,11167000,12966000,14283000,17558000,17759000,16597000,17056000,17162000,16640000,16082000,16634000,16143000,16038000,16340000,17276000,18895000,20297000,22805000,24860000,12727000,
IBRD only,IBD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247904374.3,252677907.8,265763513.1,271890833.8,291678524.1,320226254.6,320107966.7,316976995.4,319711392.9,343892395.1,363007459.7,373979327.9,384376425.2,399957489.9,375531747.2,400055012.1,429376700,463213880.3,509920169.7,505478327.8,534814850.5,561469376.8,600371930,606878384.5,624278730.5,,
IDA & IBRD total,IBT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316501877.4,322608592.5,339747236,348168650.5,374300252.2,411277764.4,410559346,406836756.1,411858892.5,443665411.8,469153653.7,483202009.3,498467960.6,517364292.9,488378973.4,519544732.2,560021930.8,604687544.2,667710870,662446774,700888228.5,732541192.5,783131240.4,799318916.1,819595044.7,,
IDA total,IDA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205000,2505000,3231000,3478000,3941000,4106000,4967000,5158000,5486000,5053000,6235000,6750000,7454000,8025000,8074000,8176000,8340000,8856000,9468000,11689000,2918000,
IDA only,IDX,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056000,3464000,3726000,3811000,4115000,4416000,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,21872000,23943000,26296000,26915000,,
Not classified,INX,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547000,2733000,3053000,3330000,3576000,3783000,4216000,4634000,4929000,5409000,6113000,6848000,7713000,7877000,7047000,6917000,6514000,6600000,6579000,6676000,7094000,7646000,8171000,8643000,9350000,2326000,
"Iran, Islamic Rep.",IRN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7698000,6620000,9007000,10543000,7243000,,1550000,
Iraq,IRQ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166000,190000,203000,227000,257000,283000,,,,,364000,440000,460000,414000,259000,299000,341000,358000,365000,400000,450000,536000,619000,668000,611000,130000,
Israel,ISR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259000,2505000,2707000,2983000,3203000,3530000,3561000,3273000,3299000,3614000,3687000,3713000,4147000,4207000,4007000,4269000,4387000,4349000,4757000,5181000,5891000,6781000,7597000,8473000,9179000,,
Italy,ITA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40196000,42431000,42390000,44628000,43611000,44660000,46357000,40400000,43407000,46369000,49166000,54421000,54839000,55304000,52617000,53338000,52633000,55169000,57418000,57480000,60042000,61194601.56,62207000,21448000,
Jamaica,JAM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128000,1141000,1233000,1347000,1561000,1625000,1755000,1276000,1229000,1420000,1523000,2139000,2094000,1972000,2054000,2708000,1931000,1567000,1498000,1230000,,1511000,1592000,1501000,1537000,406000,
Japan,JPN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15298000,16695000,16803000,15806000,16358000,17819000,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,17116000,17889000,18954000,20081000,3174000,
Kazakhstan,KAZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3688000,4544000,4330000,5423000,6019000,8020000,9066000,10144000,10450000,11303000,9756000,10261000,10646000,10707000,2865000,
Kenya,KEN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273000,2354000,1342000,3061000,3621000,3993000,3790000,4008000,4185000,4446000,6839000,5314000,,
Cambodia,KHM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000,38000,45000,41000,49000,41000,37000,45000,60000,239000,568000,787000,996000,786000,340000,505000,710000,792000,872000,956000,1194000,1434000,1752000,1995000,2038000,326000,
Kiribati,KIR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3819000,4649000,4542000,3067000,4342000,5508000,6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000,26496000,28696000,28714000,4276000,
Kuwait,KWT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878000,1051000,1097000,1264000,1209000,1236000,1666000,1725000,1774000,1928000,2173000,2529000,2649000,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118763398.8,120644690.1,125441388.4,126801839.7,135650716.2,147337198.1,143515183.6,144402340.5,143844760.8,151105183.5,152058277.4,146278940.6,134739323.4,133965255.3,123534765.6,119555534.8,119714980.5,121265205,127945469,130017235.5,138914310.3,147427686.5,149322519.6,138523410.9,132353711,,
Lao PDR,LAO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686000,1788000,2052000,2857000,3320000,3067000,3059000,3049000,3207000,2690000,707000,
Lebanon,LBN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484000,493000,650000,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122587874.3,124397030.8,129286514.7,131080097.5,140035995.9,152083148.4,147966602.3,148796394.3,148266969.7,155920936.3,157601258.8,152165563.9,141098688.9,140636724.3,129886598,126208450.3,127572515.4,129608833,137178744.1,139146199.5,148044581,156262752.7,157876705.2,147336636.6,140808231.3,,
Least developed countries: UN classification,LDC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504000,494000,531000,518000,497000,524000,505000,533000,561000,680000,727000,757000,862000,966000,963000,1122000,1239000,1269000,1262000,1311000,1356000,1448000,1439000,1476000,1441000,305000,
Lower middle income,LMC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263600200.3,257966834.1,269640322.4,276517869,294310725,329000990.5,333619759.7,340879864.2,354603785,388092539.3,407499032.4,415532558.1,425958912.2,440703404.6,426014867.5,451766534.8,489755957.1,527665336.7,583907367.5,603896267.7,629577760.3,664533519.8,713073639.6,725777306.2,743168143.2,,
Lesotho,LSO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101419542.3,104477830.3,111629729.5,116228580.7,123988966.3,137883028.7,141458819.9,134483833.4,136994938.5,148763315,165706335.4,181187456.5,206388068.2,223951463.1,207135764.3,229873413.1,258667721,287320326,319353415.5,315858060.9,329660116.7,340219982.9,371666562.7,393163875.6,409178637.3,,
Lithuania,LTU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4362000,3627000,3847000,3639000,4311000,4020000,4108000,4228000,4292000,3981000,4143000,4294000,4702000,4881000,1643000,
Luxembourg,LUX,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694000,757000,809000,950000,923000,1049000,1021000,1100000,1185000,1084000,1132000,1190000,1362000,1237000,1643000,1580000,1624000,1815000,1702000,1588000,2346000,2510000,2548000,1460000,
Latvia,LVA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812000,1798000,1877000,1961000,2256000,2596000,2697000,2306000,2286000,2457000,2959000,3151000,3398000,3782000,3268000,3332000,3257000,1830000,1776000,1846000,1720000,1939000,2055000,2175000,2384000,690000,
St. Martin (French part),MAF,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317000,1212000,1203000,1275000,1545000,1508000,1701000,1533000,1612000,1603000,2247000,2135000,2669000,3421000,2293000,2175000,2378000,2323000,2195000,1850000,1910000,1864000,1849000,1923000,2009000,646000,
Monaco,MCO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93300.00305,117199.9969,136100.0061,146800.0031,157600.0061,180600.0061,189800.0031,177000,229000,264000,311000,75000,
Madagascar,MDG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,32000,33000,37000,42000,42000,41000,43000,44000,61000,77000,74000,102000,123000,,,,,,,,,,,,,
Middle East & North Africa,MEA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103161000,103442000,107242000,107927000,117383000,127268000,123732000,124633000,123015000,128903000,128392000,122022000,109540000,107519000,98228000,91658000,88113000,87332000,90787000,90982000,94988000,97372000,94274000,86280000,82752000,36056000,
Marshall Islands,MHL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247152043.4,241631640.2,252142370.8,258373822.4,274313571.4,306243685.5,311083867.1,318157017.9,330252807.4,361477105.7,379523713.2,387914023.1,397553172.7,410031277,396188851.6,419234983,454402867.6,489487269.6,541727738.5,560270007,584542020.2,619488840.6,664720016.7,676540976.2,692705030.1,,
North Macedonia,MKD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,MLT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292000,292000,328000,348000,368000,404000,430000,456000,550000,633000,728000,774000,218000,
Myanmar,MMR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107000,120000,132000,143000,154000,163000,161000,162000,161000,180000,183000,186000,213000,226000,196000,212000,219000,237000,228000,223000,242000,260000,283000,296000,320000,65000,
Malawi,MWI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20642000,23333000,26165000,25631000,26067000,30532000,36248000,29866000,32201000,30761000,,,,,,,,,,,,,,,,,
North America,NAC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97468466.59,101118053.8,103327291.6,108958346.6,111304509.8,115824362.9,111587576.6,106504719.5,99923424.98,104905071.9,104333299.8,195429088.7,190429282.1,187919387.2,177467474.7,175226064.5,176030211.6,181537219.4,184781813.1,185469939,186369103.6,194540598.9,203037153.6,196550372.9,208814203,,
Namibia,NAM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,64000,63000,68000,69000,69000,68000,72000,78000,89000,96000,100000,106000,112000,119000,132000,124000,121000,121000,124000,127000,134000,135000,139000,144000,48000,
Niger,NER,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,282000,330000,422000,452000,486000,499000,532000,562000,701000,740000,773000,949000,942000,858000,908000,912000,979000,994000,959000,925000,981000,982000,974000,949000,325000,
Netherlands,NLD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12313000,12807000,12858000,13553000,14184000,13896000,14214000,16719000,16425000,17130000,17039000,16695000,17523000,18399000,18340000,18368000,18560000,18628000,18094000,17928000,17535000,18152000,20763000,20981000,22045000,,
Norway,NOR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590000,692000,753000,,2271000,2394000,2348000,2629000,2588000,2960000,3166000,3236000,3395000,,6640000,7590000,8130000,9250000,9280000,9190000,8750000,8030000,8170000,8110000,8890000,1690000,
